image_id,label
00000.png,0
00001.png,0
00002.png,0
00003.png,0
00004.png,1
00005.png,1
00006.png,1
00007.png,1
00008.png,1
00009.png,1
00010.png,0
00011.png,0
00012.png,0
00013.png,1
00023.png,0
00024.png,0
00025.png,0
00028.png,1
00029.png,0
00032.png,0
00033.png,0
00034.png,0
00050.png,0
00052.png,0
00053.png,0
00058.png,0
00059.png,0
00062.png,1
00065.png,1
00066.png,1
00067.png,1
00069.png,1
00070.png,1
00071.png,1
00072.png,1
00073.png,1
00074.png,1
00075.png,1
00078.png,1
00079.png,1
00082.png,1
00083.png,1
00084.png,1
00085.png,1
00086.png,1
00088.png,1
00089.png,1
00090.png,1
00091.png,1
00092.png,1
00095.png,1
00096.png,1
00098.png,1
00099.png,1
00100.png,1
00103.png,1
00104.png,1
00105.png,1
00115.png,1
00116.png,1
00117.png,1
00118.png,1
00119.png,1
00133.png,1
00134.png,1
00137.png,1
00138.png,1
00140.png,0
00145.png,0
00147.png,0
00151.png,0
00154.png,0
00156.png,0
00157.png,0
