image_id,label
00000.png, 1
00001.png, 1
00002.png, 1
00003.png, 1
00004.png, 1
00005.png, 2
00006.png, 2
00007.png, 2
00008.png, 2
00009.png, 2
00010.png, 1
00011.png, 1
00012.png, 1
00013.png, 2
00014.png, 0
00015.png, 0
00016.png, 0
00017.png, 0
00018.png, 0
00019.png, 0
00020.png, 0
00021.png, 0
00022.png, 0
00023.png, 1
00024.png, 1
00025.png, 1
00026.png, 0
00027.png, 0
00028.png, 2
00029.png, 1
00030.png, 0
00031.png, 0
00032.png, 1
00033.png, 1
00034.png, 1
00035.png, 0
00036.png, 0
00037.png, 0
00038.png, 0
00039.png, 0
00040.png, 0
00041.png, 0
00042.png, 0
00043.png, 0
00044.png, 0
00045.png, 0
00046.png, 0
00047.png, 0
00048.png, 0
00049.png, 0
00050.png, 1
00051.png, 0
00052.png, 1
00053.png, 1
00054.png, 0
00055.png, 0
00056.png, 0
00057.png, 0
00058.png, 1
00059.png, 1
00060.png, 0
00061.png, 0
00062.png, 2
00063.png, 0
00064.png, 0
00065.png, 2
00066.png, 2
00067.png, 2
00068.png, 0
00069.png, 2
00070.png, 2
00071.png, 2
00072.png, 2
00073.png, 2
00074.png, 2
00075.png, 2
00076.png, 0
00077.png, 0
00078.png, 2
00079.png, 2
00080.png, 0
00081.png, 0
00082.png, 2
00083.png, 2
00084.png, 2
00085.png, 2
00086.png, 2
00087.png, 0
00088.png, 2
00089.png, 2
00090.png, 2
00091.png, 3
00092.png, 3
00093.png, 0
00094.png, 0
00095.png, 3
00096.png, 3
00097.png, 0
00098.png, 3
00099.png, 3
00100.png, 3
00101.png, 0
00102.png, 0
00103.png, 3
00104.png, 3
00105.png, 3
00106.png, 0
00107.png, 0
00108.png, 0
00109.png, 0
00110.png, 0
00111.png, 0
00112.png, 0
00113.png, 0
00114.png, 0
00115.png, 3
00116.png, 3
00117.png, 3
00118.png, 3
00119.png, 2
00120.png, 0
00121.png, 0
00122.png, 0
00123.png, 0
00124.png, 0
00125.png, 0
00126.png, 0
00127.png, 0
00128.png, 0
00129.png, 0
00130.png, 0
00131.png, 0
00132.png, 0
00133.png, 2
00134.png, 2
00135.png, 0
00136.png, 0
00137.png, 2
00138.png, 2
00139.png, 0
00140.png, 1
00141.png, 0
00142.png, 0
00143.png, 0
00144.png, 0
00145.png, 1
00146.png, 0
00147.png, 1
00148.png, 0
00149.png, 0
00150.png, 0
00151.png, 1
00152.png, 0
00153.png, 0
00154.png, 1
00155.png, 0
00156.png, 1
00157.png, 1
